edge_id,source_id,target_id,predicate,enzyme_or_system,strain_id,module_id,evidence_tier,evidence_type,effect,source_url,notes
edge:gmet_has_aromatics_module,strain:gmet_gs15,module:gmet_aromatics,has_module,,gmet_gs15,gmet_aromatics,1,genome_and_transcriptomics,capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"300 kb aromatics island plus separate toluene region"
edge:gsu_has_ars_module,strain:gsu_pca,module:gsu_arsenic,has_module,,gsu_pca,gsu_arsenic,1,mutant_and_transcriptomics,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,"10-gene ars operon experimentally tested"
edge:gmet_has_ars_module,strain:gmet_gs15,module:gmet_arsenic,has_module,,gmet_gs15,gmet_arsenic,2,comparative_genomics,predicted_detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,"arsC/acr3 and arsM present in comparative survey"
edge:gsu_has_metal_redox_module,strain:gsu_pca,module:gsu_metal_redox,has_module,,gsu_pca,gsu_metal_redox,1,kinetic_assay,redox_transformation,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,"Multiheme cytochrome-mediated extracellular electron transfer"
edge:glov_has_organochlorine_module,strain:glov_sz,module:glov_organochlorine,has_module,,glov_sz,glov_organochlorine,1,phenotype,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,"PCE and TCE reduced to cis-DCE"
edge:iae_has_organochlorine_module,strain:geo_iae,module:geo_iae_organochlorine,has_module,,geo_iae,geo_iae_organochlorine,2,enrichment_population_dynamics,dihaloelimination,https://www.osti.gov/servlets/purl/1860551,"Population attributed to Geobacter strain IAE; exact enzyme unresolved"
edge:toluene_to_benzylsuccinate,compound:toluene,compound:benzoyl_coa,transformed_to,gene:gmet_bsscab;gene:gmet_bbsabcd;gene:gmet_bbs_efgh,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"Toluene region encodes bssCAB and bbs clusters; represented as net flow to benzoyl-CoA"
edge:phenol_to_4hba,compound:phenol,compound:4_hydroxybenzoate,transformed_to,gene:gmet_phenylphosphate_synthase;gene:gmet_phenylphosphate_carboxylase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"Phenylphosphate route predicted by homology"
edge:p_cresol_to_4hbenzaldehyde,compound:p_cresol,compound:4_hydroxybenzaldehyde,transformed_to,gene:gmet_p_cresol_methylhydroxylase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"p-cresol methylhydroxylase homologs"
edge:4hbenzaldehyde_to_4hba,compound:4_hydroxybenzaldehyde,compound:4_hydroxybenzoate,transformed_to,gene:gmet_2131_dehydrogenase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"Gmet_2131 predicted aldehyde dehydrogenase"
edge:benzyl_alcohol_to_benzaldehyde,compound:benzyl_alcohol,compound:benzaldehyde,transformed_to,gene:gmet_2235_dehydrogenase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"Benzyl alcohol dehydrogenase predicted"
edge:benzaldehyde_to_benzoate,compound:benzaldehyde,compound:benzoate,transformed_to,gene:gmet_2131_dehydrogenase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_entry,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"Benzaldehyde dehydrogenase predicted"
edge:4hba_to_benzoylcoa,compound:4_hydroxybenzoate,compound:benzoyl_coa,transformed_to,gene:gmet_4hbcoa_reductase,gmet_gs15,gmet_aromatics,2,genome_prediction,pathway_convergence,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"4-hydroxybenzoyl-CoA reductase-like operon"
edge:benzoate_to_benzoylcoa,compound:benzoate,compound:benzoyl_coa,transformed_to,gene:gmet_bam_y,gmet_gs15,gmet_aromatics,1,transcriptomics,pathway_convergence,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"Benzoate-CoA ligase induced during benzoate oxidation"
edge:benzoylcoa_dearomatization,compound:benzoyl_coa,compound:3_hydroxypimelyl_coa,transformed_to,gene:gmet_bamb;gene:gmet_bamc;gene:gmet_bamr;gene:gmet_bamq;gene:gmet_oah2,gmet_gs15,gmet_aromatics,1,transcriptomics,dearomatization_and_ring_reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"BamB/BamC/BamR/BamQ/Oah2 induced during benzoate oxidation"
edge:3hppcoa_to_acetylcoa,compound:3_hydroxypimelyl_coa,compound:acetyl_coa,transformed_to,gmet_fatty_acid_oxidation_cluster,gmet_gs15,gmet_aromatics,1,transcriptomics,mineralization_route,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,"Gmet_2057-Gmet_2075 fatty-acid oxidation genes induced during benzoate oxidation"
edge:gsu_arsenate_to_arsenite,compound:arsenate,compound:arsenite,reduced_to,gene:gsu_arsc,gsu_pca,gsu_arsenic,1,mutant_and_transcriptomics,detoxification_activation_for_efflux,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,"Delta arsC impaired As(V) growth; arsC mRNA induced"
edge:gsu_arsenite_efflux,compound:arsenite,extracellular:arsenite,exported_by,gene:gsu_acr3,gsu_pca,gsu_arsenic,1,mutant_and_transcriptomics,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,"Delta acr3 impaired growth with As(III) and As(V)"
edge:gsu_ars_operon_regulation,gene:gsu_arsr1,gene:gsu_ars_operon,regulates,gene:gsu_arsr1,gsu_pca,gsu_arsenic,1,regulatory_mutant,transcriptional_control,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,"ArsR1 regulates ars operon"
edge:gmet_arsenate_to_arsenite,compound:arsenate,compound:arsenite,reduced_to,gene:gmet_arsc,gmet_gs15,gmet_arsenic,2,comparative_genomics,predicted_detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,"Gmet_0521 annotated as ArsC in comparative survey"
edge:gmet_arsenite_efflux,compound:arsenite,extracellular:arsenite,exported_by,gene:gmet_acr3,gmet_gs15,gmet_arsenic,2,comparative_genomics,predicted_detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,"Gmet_0520 annotated as Acr3 in comparative survey"
edge:gmet_arsenite_methylation,compound:arsenite,compound:methylated_arsenicals,methylated_by,gene:gmet_arsm,gmet_gs15,gmet_arsenic,3,homology_prediction,predicted_transformation,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,"ArsM homolog present; substrate/product specificity should be experimentally verified"
edge:gsu_chromate_reduction,compound:chromate,compound:chromium_iii,reduced_to,system:gsu_eet_cytochromes,gsu_pca,gsu_metal_redox,1,kinetic_assay,detoxification_or_immobilization,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,"CrO4(2-) reduced to Cr(III); product mostly in supernatant in assay"
edge:gsu_vanadium_reduction,compound:vanadium_v,compound:vanadium_iv,reduced_to,system:gsu_eet_cytochromes,gsu_pca,gsu_metal_redox,1,kinetic_assay,redox_transformation,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,"VO2(edta)3- reduced to V(IV)"
edge:gsu_permanganate_reduction,compound:manganese_vii,compound:manganese_iv,reduced_to,system:gsu_eet_cytochromes,gsu_pca,gsu_metal_redox,1,kinetic_assay,redox_transformation,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,"MnO4- reduced to Mn(IV)"
edge:gsu_uranium_reduction,compound:uranium_vi,compound:uranium_iv,reduced_to,system:gsu_eet_cytochromes,gsu_pca,gsu_metal_redox,1,biofilm_assay,immobilization,https://pmc.ncbi.nlm.nih.gov/articles/PMC4249037/,"G. sulfurreducens biofilms reductively precipitated U(VI) to mononuclear U(IV)"
edge:glov_pce_to_cisdce,compound:pce,compound:cis_dce,reduced_to,system:glov_unknown_rdase,glov_sz,glov_organochlorine,1,phenotype,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,"PCE reduced to cis-DCE with acetate/H2 donors"
edge:glov_tce_to_cisdce,compound:tce,compound:cis_dce,reduced_to,system:glov_unknown_rdase,glov_sz,glov_organochlorine,1,phenotype,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,"TCE reduced to cis-DCE"
edge:glov_uranium_reduction,compound:uranium_vi,compound:uranium_iv,reduced_to,strain:glov_sz,glov_sz,glov_organochlorine,1,phenotype,immobilization,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,"SZ reduces U(VI) to U(IV) while also supporting chlororespiration"
