compound_id,compound,compound_class,microbial_route,microbial_outcome,human_route,human_outcome,human_tissue_context,contrast_class,mean_confidence_score,minimum_confidence_score,overclaim_flags,key_sources,summary_note
compound:one_two_dca,"1,2-Dichloroethane",organohalide,Geobacter organohalide respiration and dechlorination,dihaloelimination to ethene,Human TCE/PCE CYP oxidation and GSH conjugation,toxicity-prone metabolism,Liver | Kidney / renal proximal tubule,Pathway loss | Ancient catabolic loss,0.87,0.67,outcome_inferred;enzyme_unresolved;species_generalized,https://www.osti.gov/servlets/purl/1860551 | https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/ | https://pubmed.ncbi.nlm.nih.gov/30554721/,Chlorinated ethane exposure anchor with Geobacter strain IAE dihaloelimination evidence.
compound:four_abp,4-Aminobiphenyl,aromatic_amine,KT2440 aerobic aromatic-amine oxidation,aerobic deamination,Human aromatic amine CYP/NAT bladder bioactivation,bladder bioactivation,Bladder urothelium,Ancient catabolic loss | Toxic inversion | Pathway loss | Polymorphic loss | Human-lineage loss | Ecosystem-outsourced capacity,0.85,0.53,outcome_inferred;microbiome_candidate;species_generalized,https://pmc.ncbi.nlm.nih.gov/articles/PMC12597649/ | https://pubmed.ncbi.nlm.nih.gov/32393663/ | https://pubmed.ncbi.nlm.nih.gov/17700188/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pubmed.ncbi.nlm.nih.gov/12083997/,Aromatic amine bladder-carcinogen exposure anchor involving CYP/NAT bioactivation and detoxication balance.
compound:acetaldehyde,Acetaldehyde,aldehyde,,,Human acetaldehyde ALDH2 and esophageal DNA damage,detoxication or DNA adducts,Esophageal epithelium,Host-shifted handling | Polymorphic loss,0.89,0.63,outcome_inferred,https://www.nature.com/articles/srep14142 | https://pmc.ncbi.nlm.nih.gov/articles/PMC5618592/ | https://pubmed.ncbi.nlm.nih.gov/19621086/ | https://pubmed.ncbi.nlm.nih.gov/22385545/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md,Reactive aldehyde exposure anchor detoxified by ALDH2 but capable of DNA adduct formation.
compound:aflatoxin_b1,Aflatoxin B1,mycotoxin,,,Human aflatoxin CYP epoxidation/GST liver handling,epoxide liver carcinogenesis,Liver,Toxic inversion | Host-shifted handling | Polymorphic loss | Ecosystem-outsourced capacity,0.86,0.63,outcome_inferred;microbiome_candidate;species_generalized,https://pubmed.ncbi.nlm.nih.gov/35850656/ | https://pubmed.ncbi.nlm.nih.gov/25689540/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pubmed.ncbi.nlm.nih.gov/29018510/,Hepatocarcinogen exposure anchor activated by CYP enzymes to epoxide metabolites.
compound:arsenate,Arsenate As(V),inorganic_toxicant,Geobacter ArsC/Acr3 arsenic detoxification,detoxification,,,,Conserved chemistry | Polymorphic loss,0.85,0.63,outcome_inferred;tissue_generalized,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/ | https://pubmed.ncbi.nlm.nih.gov/22135381/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pmc.ncbi.nlm.nih.gov/articles/PMC4237493/,Shared arsenic exposure anchor linking bacterial arsenate reduction and human arsenic handling.
compound:arsenite,Arsenite As(III),inorganic_toxicant,,,Human AS3MT/GSH/MRP arsenic handling,methylation + efflux,,Polymorphic loss,0.92,0.83,tissue_generalized;outcome_inferred,https://pmc.ncbi.nlm.nih.gov/articles/PMC3302683/ | https://pubmed.ncbi.nlm.nih.gov/22135381/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pmc.ncbi.nlm.nih.gov/articles/PMC4237493/,Reduced arsenic species handled through bacterial efflux and human thiol/methylation chemistry.
compound:benzene,Benzene,aromatic_hydrocarbon,Geobacter Bam/Benzoyl-CoA anaerobic aromatics pathway,potential catabolism,Human benzene CYP2E1/NQO1 bone marrow toxicity,bone marrow toxicity,Bone marrow / hematopoietic niche,Pathway loss | Toxic inversion | Polymorphic loss,0.81,0.39,outcome_inferred;species_generalized,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/ | https://www.ncbi.nlm.nih.gov/books/NBK550158/ | https://pubmed.ncbi.nlm.nih.gov/9037088/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pubmed.ncbi.nlm.nih.gov/22945568/,Aromatic solvent exposure anchor with human bone marrow toxicity and CYP2E1/NQO1-linked susceptibility.
compound:bap,Benzo[a]pyrene / PAH,polycyclic_aromatic_hydrocarbon,Geobacter Bam/Benzoyl-CoA anaerobic aromatics pathway | KT2440 PAH ring-hydroxylation (aerobic) | M. vanbaalenii PYR-1 high-MW PAH degradation,potential environmental catabolism | aerobic catabolism entry,Human PAH CYP1A1/1B1 DNA-adduct activation,DNA adduct genotoxicity,Lung,Pathway loss | Ancient catabolic loss | Toxic inversion | Polymorphic loss | Human-lineage loss,0.83,0.39,outcome_inferred;species_generalized,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/ | https://pubmed.ncbi.nlm.nih.gov/22945568/ | https://pubmed.ncbi.nlm.nih.gov/30554721/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pubmed.ncbi.nlm.nih.gov/8027025/,Representative PAH exposure anchor for CYP1A1/1B1 activation to DNA-reactive metabolites.
compound:benzoate,Benzoate,aromatic_acid,,,Human benzoate glycine conjugation,conjugation + excretion,,Analogous function,0.68,0.63,tissue_generalized;outcome_inferred,https://pubmed.ncbi.nlm.nih.gov/1352215/,Shared aromatic acid intermediate and human conjugation substrate.
compound:benzoyl_coa,Benzoyl-CoA,central_intermediate,Geobacter Bam/Benzoyl-CoA anaerobic aromatics pathway,dearomatization,,,,Pathway loss,0.76,0.39,outcome_inferred;tissue_generalized;species_generalized,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/ | https://www.ncbi.nlm.nih.gov/books/NBK550158/ | https://pubmed.ncbi.nlm.nih.gov/22945568/,Microbial anaerobic aromatic degradation intermediate; human cells do not use it for respiratory dearomatization.
compound:cadmium,Cadmium Cd(II),inorganic_toxicant,Microbial heavy-metal biosorption and biomineralization,biosorption / biomineralization,Human cadmium metallothionein renal toxicity,renal tubular toxicity,Kidney / renal proximal tubule,Host-shifted handling,0.78,0.63,species_generalized;outcome_inferred,https://pmc.ncbi.nlm.nih.gov/articles/PMC11294182/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC7312803/,Shared heavy-metal exposure anchor for microbial sorption/transformation and human renal metallothionein stress biology.
compound:chromate,Chromate Cr(VI),inorganic_toxicant,Geobacter extracellular electron transfer metal reduction,extracellular reduction,Human Cr(VI) intracellular reduction and DNA damage,DNA damage / genotoxicity,,Toxic inversion,0.91,0.83,tissue_generalized;outcome_inferred,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full | https://pubmed.ncbi.nlm.nih.gov/36858775/,Shared metal exposure anchor for microbial extracellular reduction and human intracellular genotoxic reduction.
compound:mercury_ii,Mercury Hg(II),inorganic_toxicant,Microbial mer mercury detoxification,volatilization / detoxification,Human mercury GSH/metallothionein renal-neural handling,renal toxicity handling,Kidney / renal proximal tubule,Host-shifted handling,0.77,0.63,species_generalized;outcome_inferred,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2026.1724533/full | https://pmc.ncbi.nlm.nih.gov/articles/PMC10598501/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC6635095/,Shared mercury exposure anchor for microbial mer detoxification and human GSH/metallothionein renal handling.
compound:methylmercury,Methylmercury,organometal_toxicant,Microbial mer mercury detoxification,demethylation / reduction,Human methylmercury thiol/GSH neurotoxicity,neurotoxicity / oxidative stress,Central nervous system,Host-shifted handling,0.77,0.63,species_generalized;outcome_inferred,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2026.1724533/full | https://pmc.ncbi.nlm.nih.gov/articles/PMC6635095/,Neurotoxic organomercury exposure anchor involving thiol and glutathione chemistry.
compound:ndma,N-Nitrosodimethylamine NDMA,nitrosamine,Rhodococcus sp. ANM-7 aerobic NDMA degradation,aerobic catabolism entry,Human nitrosamine CYP2E1 activation and MGMT repair,DNA alkylation,Liver,Ancient catabolic loss | Toxic inversion | Pathway loss | Polymorphic loss | Ecosystem-outsourced capacity,0.85,0.63,outcome_inferred;microbiome_candidate;species_generalized,https://pubmed.ncbi.nlm.nih.gov/40390554/ | https://www.atsdr.cdc.gov/toxprofiles/tp141-c3.pdf | https://pubmed.ncbi.nlm.nih.gov/31647556/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pubmed.ncbi.nlm.nih.gov/28853743/,Nitrosamine exposure anchor activated by CYP2E1 to DNA-reactive alkylating species.
compound:phenol,Phenol,phenolic,Geobacter Bam/Benzoyl-CoA anaerobic aromatics pathway,catabolism,Human CYP2E1 aromatic oxidation,oxidation conjugation,,Pathway loss,0.77,0.39,outcome_inferred;tissue_generalized;species_generalized,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/ | https://pubmed.ncbi.nlm.nih.gov/9065730/ | https://www.ncbi.nlm.nih.gov/books/NBK550158/ | https://pubmed.ncbi.nlm.nih.gov/22945568/,Phenolic exposure/intermediate represented in Geobacter aromatic degradation and human conjugation/oxidative handling.
compound:pce,Tetrachloroethene PCE,organohalide,Geobacter organohalide respiration and dechlorination | Dehalococcoides complete dechlorination to ethene,chlororespiration,Human TCE/PCE CYP oxidation and GSH conjugation,oxidation / GSH toxicity,Liver | Kidney / renal proximal tubule,Pathway loss | Ancient catabolic loss,0.88,0.67,enzyme_unresolved;species_generalized;outcome_inferred,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://www.osti.gov/servlets/purl/1860551,Shared organohalide exposure anchor.
compound:toluene,Toluene,monoaromatic,Geobacter Bam/Benzoyl-CoA anaerobic aromatics pathway,catabolism,Human CYP2E1 aromatic oxidation,oxidation,,Pathway loss,0.77,0.39,tissue_generalized;outcome_inferred;species_generalized,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/ | https://pubmed.ncbi.nlm.nih.gov/9065730/ | https://www.ncbi.nlm.nih.gov/books/NBK550158/ | https://pubmed.ncbi.nlm.nih.gov/22945568/,Shared aromatic hydrocarbon exposure anchor.
compound:tce,Trichloroethene TCE,organohalide,Geobacter organohalide respiration and dechlorination | Dehalococcoides complete dechlorination to ethene,chlororespiration,Human TCE/PCE CYP oxidation and GSH conjugation,oxidation / GSH toxicity,Liver | Kidney / renal proximal tubule,Pathway loss | Ancient catabolic loss,0.88,0.67,enzyme_unresolved;species_generalized;outcome_inferred,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://www.osti.gov/servlets/purl/1860551,Shared chlorinated solvent exposure anchor.
compound:uranium_vi,Uranium(VI),radionuclide_toxicant,Geobacter U(VI) to U(IV) biofilm immobilization,immobilization,Human uranium nephrotoxicity and metallothionein stress response,renal stress response,,Host-shifted handling,0.75,0.63,tissue_generalized;outcome_inferred,https://pmc.ncbi.nlm.nih.gov/articles/PMC4249037/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC5155243/,Shared radionuclide exposure anchor.
compound:vinyl_chloride,Vinyl chloride,organohalide,Geobacter organohalide respiration and dechlorination | Dehalococcoides complete dechlorination to ethene,reductive dechlorination context | detoxification,Human TCE/PCE CYP oxidation and GSH conjugation,toxicity-prone metabolism,Liver | Kidney / renal proximal tubule,Pathway loss | Ancient catabolic loss | Polymorphic loss | Ecosystem-outsourced capacity,0.87,0.65,species_generalized;outcome_inferred;microbiome_candidate;enzyme_unresolved,https://www.osti.gov/servlets/purl/1860551 | https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/ | https://pubmed.ncbi.nlm.nih.gov/30554721/ | https://github.com/kpienta-cloud/geobacter/blob/main/geotoxgraph/contrast_ontology.md | https://pubmed.ncbi.nlm.nih.gov/34079091/,Organohalide exposure anchor handled by microbial dechlorination in ecosystems and human bioactivation pathways.
compound:p_cresol,p-Cresol,phenolic,Geobacter Bam/Benzoyl-CoA anaerobic aromatics pathway,catabolism,Human CYP2E1 aromatic oxidation,oxidation conjugation,,Pathway loss,0.77,0.39,outcome_inferred;tissue_generalized;species_generalized,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/ | https://pubmed.ncbi.nlm.nih.gov/9065730/ | https://www.ncbi.nlm.nih.gov/books/NBK550158/ | https://pubmed.ncbi.nlm.nih.gov/22945568/,Methylphenol substrate in Geobacter aromatic metabolism and host/microbial phenolic exposure chemistry.
